LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 10273.0, 1098075, 1.0, 7198.0, 34848, 255.0, 10444.0, 871200, -15395.0, -1.0, 150528, -3537.0, -1.0, 34848, 2211.0, 11144.0, 871455,
1, 129.0, 16782.0, 418176, 1.0, 16534.0, 884736, 255.0, 17036.0, 836352, -6598.0, -1.0, 64896, -6550.0, 15902.0, 884736, 3714.0, 17439.0, 836607,
